Age,Industry,Job Title,Annual Salary,Monetary Compensation,Currency,Country of Employment,State (USA),Overall Number of Years of Experience,Number of Years of Experience in Your Field,Highest Level of Education,Gender,Ethnicity
25-34,Education (Higher Education),Research and Instruction Librarian,55000.0,0.0,USD,USA,Massachusetts,5-7 years,5-7 years,Master's degree,Female,White
25-34,Computing or Tech,Change & Internal Communications Manager,54600.0,4000.0,GBP,England,Outside of the US,8 - 10 years,5-7 years,College degree,Non-binary,White
25-34,Nonprofits,Program Manager,62000.0,3000.0,USD,USA,Wisconsin,8 - 10 years,5-7 years,College degree,Female,White
25-34,"Accounting, Banking & Finance",Accounting Manager,60000.0,7000.0,USD,USA,South Carolina,8 - 10 years,5-7 years,College degree,Female,White
25-34,Publishing,Publishing Assistant,33000.0,2000.0,USD,USA,South Carolina,2 - 4 years,2 - 4 years,College degree,Female,White
45-54,Computing or Tech,Systems Analyst,112000.0,10000.0,USD,USA,Missouri,21 - 30 years,21 - 30 years,College degree,Female,White
35-44,"Accounting, Banking & Finance",Senior Accountant,45000.0,0.0,USD,USA,Florida,21 - 30 years,21 - 30 years,College degree,Female,"Hispanic, Latino, or Spanish origin, White"
35-44,Education (Higher Education),Deputy Title IX Coordinator/ Assistant Director Office of Equity and Diversity,62000.0,0.0,USD,USA,Pennsylvania,11 - 20 years,5-7 years,PhD,Female,"Hispanic, Latino, or Spanish origin, White"
35-44,"Accounting, Banking & Finance",Manager of Information Services,100000.0,0.0,USD,USA,Michigan,11 - 20 years,11 - 20 years,College degree,Male,"Asian or Asian American, White"
35-44,Utilities & Telecommunications,Quality And Compliance Specialist,24000.0,500.0,GBP,England,Outside of the US,11 - 20 years,5-7 years,College degree,Male,White
35-44,Business or Consulting,Executive Assistant,85000.0,5000.0,USD,USA,Illinois,8 - 10 years,8 - 10 years,Some college,Female,White
35-44,Business or Consulting,Senior Manager,98000.0,1000.0,USD,USA,Georgia,11 - 20 years,2 - 4 years,Master's degree,Female,White
25-34,Health care,Data Programmer Analyst,74000.0,0.0,USD,USA,Pennsylvania,5-7 years,5-7 years,Master's degree,Female,White
35-44,Government and Public Administration,Researcher,96000.0,1000.0,USD,USA,Ohio,8 - 10 years,2 - 4 years,PhD,Female,Asian or Asian American
35-44,Education (Higher Education),Communications Specialist,60000.0,0.0,USD,USA,Michigan,11 - 20 years,1 year or less,Master's degree,Female,White
35-44,Law,Bookkeeper/Billing Manager,48000.0,4000.0,USD,USA,Maryland,11 - 20 years,2 - 4 years,College degree,Female,Another option not listed here or prefer not to answer
35-44,Media & Digital,Editor,125000.0,0.0,USD,USA,District of Columbia,11 - 20 years,8 - 10 years,Master's degree,Female,White
35-44,"Accounting, Banking & Finance",Accounting Manager,110000.0,15000.0,USD,USA,Virginia,21 - 30 years,11 - 20 years,College degree,Female,White
35-44,Education (Higher Education),Senior IRB Analyst,68000.0,0.0,USD,USA,North Carolina,5-7 years,2 - 4 years,Master's degree,Female,White
18-24,Media & Digital,Reporter,41000.0,100.0,USD,USA,Michigan,2 - 4 years,2 - 4 years,College degree,Female,White
25-34,"Accounting, Banking & Finance",Senior Administrator ,76000.0,10000.0,USD,USA,New York,5-7 years,2 - 4 years,College degree,Female,White
35-44,Government and Public Administration,Staff Services Manager II,78000.0,0.0,USD,USA,California,8 - 10 years,5-7 years,Master's degree,Female,White
25-34,"Accounting, Banking & Finance",Receptionist,37000.0,0.0,USD,USA,Texas,2 - 4 years,2 - 4 years,College degree,Female,White
45-54,Engineering or Manufacturing,Lead Engineer,100000.0,50000.0,USD,USA,Georgia,21 - 30 years,21 - 30 years,College degree,Female,White
35-44,"Marketing, Advertising & PR",Senior Copywriter,35000.0,6000.0,GBP,England,Outside of the US,11 - 20 years,11 - 20 years,College degree,Female,White
25-34,Government and Public Administration,Manager of Data Integrity and Prospect Research,65000.0,0.0,USD,USA,Virginia,5-7 years,5-7 years,College degree,Male,White
25-34,Computing or Tech,Principal Software Engineer,187500.0,5000.0,USD,USA,Pennsylvania,8 - 10 years,5-7 years,College degree,Female,White
25-34,Computing or Tech,Intelligence Analyst,110000.0,20000.0,USD,USA,Virginia,8 - 10 years,8 - 10 years,Master's degree,Male,White
25-34,Nonprofits,Project Manager,66625.0,1500.0,USD,USA,Massachusetts,8 - 10 years,8 - 10 years,College degree,Female,"Hispanic, Latino, or Spanish origin, White"
35-44,Computing or Tech,Mobile developer,144600.0,2500.0,USD,USA,Massachusetts,5-7 years,5-7 years,PhD,Female,White
35-44,Computing or Tech,Product Design Director,200850.0,40000.0,USD,USA,North Carolina,11 - 20 years,11 - 20 years,College degree,Female,White
25-34,Engineering or Manufacturing,Engineering specialist,120000.0,1500.0,CAD,Canada,Outside of the US,11 - 20 years,8 - 10 years,College degree,Female,White
25-34,Retail,"Manager, Total Rewards",97500.0,10000.0,CAD,Canada,Outside of the US,8 - 10 years,8 - 10 years,College degree,Female,White
25-34,Education (Primary/Secondary),Science Teacher (Public High School),53000.0,1000.0,USD,USA,Minnesota,5-7 years,1 year or less,Master's degree,Female,White
25-34,"Marketing, Advertising & PR","Senior Manager, Programmatic",95000.0,10000.0,USD,USA,Illinois,8 - 10 years,8 - 10 years,College degree,Female,White
35-44,Computing or Tech,Managed Services Sales Coordinator,72000.0,3000.0,USD,USA,Michigan,11 - 20 years,5-7 years,Master's degree,Female,White
35-44,Media & Digital,Editor,52000.0,0.0,CAD,Canada,Outside of the US,11 - 20 years,11 - 20 years,College degree,Female,Asian or Asian American
35-44,Engineering or Manufacturing,Water Resources Engineer,106000.0,0.0,USD,USA,Massachusetts,21 - 30 years,11 - 20 years,Master's degree,Female,White
25-34,Business or Consulting,Account Supervisor,100500.0,3000.0,USD,USA,District of Columbia,11 - 20 years,5-7 years,College degree,Female,White
25-34,Law,Legal Secretary,33200.0,0.0,USD,USA,New Jersey,8 - 10 years,2 - 4 years,Some college,Female,White
35-44,Government and Public Administration,Policy Lead,52000.0,0.0,GBP,England,Outside of the US,11 - 20 years,11 - 20 years,Master's degree,Female,White
65 or over,Property or Construction,Safety Director,104000.0,25000.0,USD,USA,Georgia,41 years or more,21 - 30 years,College degree,Male,White
25-34,Education (Higher Education),Research Programmer,70000.0,0.0,USD,USA,Rhode Island,5-7 years,2 - 4 years,Master's degree,Non-binary,White
25-34,Nonprofits,"Manager, Natural Climate Solutions Development",84000.0,8400.0,USD,USA,District of Columbia,5-7 years,5-7 years,Master's degree,Female,White
35-44,Health care,AR Manager,53000.0,0.0,USD,USA,Illinois,21 - 30 years,11 - 20 years,Master's degree,Female,White
25-34,Computing or Tech,Technical specialist,34000.0,2000.0,USD,USA,Minnesota,5-7 years,5-7 years,College degree,Female,White
25-34,Government and Public Administration,City Research Scientist II,87000.0,0.0,USD,USA,New York,5-7 years,2 - 4 years,Master's degree,Male,White
25-34,Insurance,Pricing Analyst,45000.0,2000.0,GBP,England,Outside of the US,5-7 years,2 - 4 years,Master's degree,Female,White
35-44,Nonprofits,Supervisory Archivist,71000.0,0.0,USD,USA,New York,11 - 20 years,8 - 10 years,Master's degree,Female,White
35-44,Education (Primary/Secondary),High School Teacher at an independent school,75000.0,0.0,USD,USA,Georgia,11 - 20 years,11 - 20 years,Master's degree,Female,White
35-44,Education (Higher Education),Manager of Market Research and Data,80000.0,0.0,USD,USA,North Carolina,21 - 30 years,11 - 20 years,Master's degree,Female,White
25-34,Art & Design,Senior UX Designer,90000.0,1000.0,USD,USA,Pennsylvania,11 - 20 years,8 - 10 years,College degree,Female,White
35-44,Engineering or Manufacturing,Senior Engineer ,105000.0,13000.0,USD,USA,Pennsylvania,8 - 10 years,5-7 years,College degree,Female,White
35-44,Nonprofits,Office Administrator,60000.0,0.0,CAD,Canada,Outside of the US,11 - 20 years,11 - 20 years,High School,Male,White
35-44,Education (Higher Education),Digital Archivist,65000.0,0.0,USD,USA,Pennsylvania,11 - 20 years,8 - 10 years,Master's degree,Female,White
25-34,Business or Consulting,Associate Program Manager,85000.0,8500.0,USD,USA,Illinois,5-7 years,2 - 4 years,Master's degree,Female,White
25-34,Energy,Fuel Efficiency Program Analyst,76000.0,0.0,USD,USA,District of Columbia,8 - 10 years,5-7 years,College degree,Female,White
55-64,Business or Consulting,Senior Vice President of Marketing,180000.0,60000.0,USD,USA,Massachusetts,31 - 40 years,11 - 20 years,Master's degree,Female,White
25-34,"Accounting, Banking & Finance",Accounting Manager,90000.0,0.0,USD,USA,Tennessee,5-7 years,5-7 years,Master's degree,Female,White
25-34,Government and Public Administration,Technical Assistant,19300.0,0.0,GBP,England,Outside of the US,5-7 years,5-7 years,Some college,Male,White
55-64,Business or Consulting,Senior Administrative Assistant and Project Specialist,65000.0,5000.0,USD,USA,Washington,31 - 40 years,11 - 20 years,Master's degree,Female,White
45-54,Computing or Tech,senior web application developer,98166.0,0.0,USD,USA,Indiana,21 - 30 years,21 - 30 years,College degree,Male,White
25-34,Nonprofits,Program & Administrative Assistant,47700.0,2000.0,USD,USA,District of Columbia,5-7 years,2 - 4 years,College degree,Female,White
55-64,Computing or Tech,Chief Engineer,87000.0,8000.0,USD,USA,Ohio,31 - 40 years,31 - 40 years,Some college,Male,White
25-34,Education (Higher Education),Administrative Support Assistant,39635.0,305.0,USD,USA,Florida,2 - 4 years,2 - 4 years,College degree,Female,"Asian or Asian American, White"
45-54,Education (Primary/Secondary),Executive Secretary/Secretary to Board of School Trustees,47255.0,0.0,USD,USA,Indiana,31 - 40 years,21 - 30 years,Some college,Female,White
35-44,Property or Construction,Senior Project Manager,196000.0,10000.0,USD,USA,New York,11 - 20 years,11 - 20 years,College degree,Male,White
45-54,Health care,Customer Service Representative,34361.0,0.0,USD,USA,Arizona,21 - 30 years,11 - 20 years,College degree,Female,"Hispanic, Latino, or Spanish origin, White"
45-54,Engineering or Manufacturing,Senior Device Engineer,150000.0,20000.0,USD,USA,Colorado,21 - 30 years,21 - 30 years,College degree,Female,White
25-34,Hospitality & Events,Graphic Designer,75000.0,0.0,USD,USA,New York,5-7 years,5-7 years,College degree,Female,White
25-34,Computing or Tech,Senior Financial Analyst,107220.0,16083.0,USD,USA,Texas,8 - 10 years,5-7 years,Master's degree,Female,Asian or Asian American
45-54,Education (Higher Education),Professor,95000.0,10000.0,USD,USA,Michigan,21 - 30 years,11 - 20 years,PhD,Male,White
25-34,"Accounting, Banking & Finance",Finance Manager,100000.0,5000.0,USD,USA,New York,5-7 years,5-7 years,Master's degree,Female,White
35-44,Education (Higher Education),Medical Education Director,119000.0,2500.0,USD,USA,California,11 - 20 years,8 - 10 years,College degree,Female,White
45-54,"Accounting, Banking & Finance",Finance acountant,66000.0,5000.0,GBP,England,Outside of the US,21 - 30 years,21 - 30 years,Master's degree,Female,White
35-44,Transport or Logistics,Program manager,60000.0,3000.0,EUR,The Netherlands,Outside of the US,11 - 20 years,11 - 20 years,Master's degree,Female,"Hispanic, Latino, or Spanish origin, White"
